nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
13,2,1,04 Oct 11,15,2,1,1950,2,,,1,,4,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,0,0,1,,2,2,0,,,3,2,2,,,5,2,2,2,,,,1,yisel,1,5,2,15,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,,1,15,2,,2,,2,,1,4,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,1,2,2,2,2,2,,3,5,5,3,3,2,1,3,3,1,1,3,1,1,1,2,2,1,3,3,3,3,3,3,1,1,1,3,1,2,2,2,,,,,salto,15,18,1,29,3,3,4,2,,2,2,,,1,5,ninguno,1,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,15000,2,2,2,1,2,,86,3,7,8,,,,salto,15,1,2,,91,6,4,salto,15,8,,,,5,5,5,4,4,5,5,4,5,5,7,,5,2,1,1,1,9,9,9,1,1,1,4,1,2,1,1,1,1,1,10,5,2,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,5,1,2,1,1,2,1,1,8,10,10,8,8,10,10,10,3,4,4,4,4,4,15,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,25000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,154,-.5,.57999998,625
14,3,1,25 Oct 11,15,1,1,1998,4,,,1,,3,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,0,1,,1,1,0,,,4,3,2,,,5,1,2,2,,,,1,javier,3,5,1,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,10,1,15,2,,1,10,2,,2,,2,,2,,2,,2,,2,,1,10,2,,2,,2,,2,,2,,,,1,1,2,2,2,2,2,2,,3,5,5,2,3,1,2,3,2,2,1,2,3,3,2,1,2,3,2,3,3,1,2,2,1,2,1,2,2,3,1,,,,,,salto,15,14,ns_nc,22,3,3,3,2,,1,1,5,2010,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,2,,,,,,,,,,0,,1,1,53,,9,2,montevideo,1,8,,,,4,4,3,3,3,4,3,4,3,4,1,,4,2,1,2,1,5,5,5,1,1,1,4,1,1,1,1,1,1,1,10,10,1,10,10,10,10,5,10,10,10,5,5,5,1,10,5,10,10,10,5,10,10,10,4,4,5,3,1,1,4,1,1,10,10,10,10,10,10,8,8,4,3,3,4,4,5,11,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,150,-.31999999,-1.34,625
15,2,1,12 Oct 11,15,1,1,2001,4,,,1,,3,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,0,1,,1,1,1,2,se olvido,4,3,1,1,6,5,1,1,2,,,,5,Sin nombre,3,5,1,14,4,2,Sin nombre,3,5,1,14,4,2,Sin nombre,3,5,1,14,1,1,Sin nombre,3,5,1,14,1,1,Sin nombre,3,5,1,14,4,2,2,,1,10,1,10,2,,1,15,2,,2,,2,,2,,2,,2,,1,5,1,4,2,,2,,1,5,2,,2,,,,1,1,2,2,2,2,1,2,,3,5,5,2,3,1,1,1,1,3,1,3,2,3,1,1,3,3,1,3,3,1,3,1,1,1,1,2,1,3,2,1,1,7,0,4,montevideo,1,18,1,21,2,2,2,2,,1,1,10,2010,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,1,1,66,,11,2,1,3,,,montevideo,1,1,2,,66,8,2,rivera,13,6,,,,5,5,1,1,3,4,1,1,4,4,1,,5,2,2,2,1,7,3,6,1,1,1,4,1,2,1,1,1,1,1,10,1,1,10,10,10,10,10,10,10,10,5,5,10,5,10,1,10,10,10,10,10,10,10,5,6,5,3,1,1,1,4,10,5,10,10,10,1,10,1,1,3,3,4,5,5,5,15,1,1,1,3,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,0,0,,,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,625
20,2,1,08 Oct 11,21,2,1,ns_nc,3,,,1,,9,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,0,0,1,,2,1,0,,,3,4,1,1,3,4,1,1,1,ns_nc,5,,3,matias sulfe,1,5,1,13,4,2,matias comarotha,3,5,1,9,2,2,emanuel aguerre,3,5,1,13,4,2,,,,,,,,,,,,,,,2,,1,10,1,ns_nc,1,12,1,6,1,3,2,,1,ns_nc,2,,1,ns_nc,2,,1,2,2,,2,,2,,2,,2,,2,,,,1,2,1,1,2,2,1,2,,3,1,1,3,1,1,2,1,2,1,2,1,3,2,2,2,3,2,2,3,2,2,2,2,1,1,1,2,2,,1,,,,,,montevideo,1,18,1,39,,,0,1,2,,,,,1,5,ninguno,2,3,alvaro,5,5,1,50,4,1,fernando,4,5,1,50,ns_nc,1,alejandro,4,5,1,42,4,1,,,,,,,,,,,,,,,2,1,40000,2,2,2,1,1,77,,11,2,1,,,,españa,54,1,2,,80,3,5,montevideo,1,5,,,,3,3,2,3,3,3,1,2,2,3,3,,4,2,1,ns_nc,1,4,4,4,1,ns_nc,1,ns_nc,3,3,1,1,3,1,1,8,8,3,10,10,10,10,1,10,3,9,7,8,5,4,9,3,5,5,10,10,10,8,7,3,3,5,3,4,4,2,1,4,6,7,3,6,6,7,3,3,4,3,4,4,3,3,9,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,148,.039999999,.2,2718
22,3,13,18 Apr 12,87,2,1,1999,6,,,1,,4,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,0,1,1,,1,1,0,,,3,ns_nc,2,,,5,2,1,2,,,,3,junior,3,5,1,15,4,2,diego,3,5,1,11,4,2,fernando carril,4,5,1,17,ns_nc,2,,,,,,,,,,,,,,,1,,1,,1,,2,,1,,1,,2,,2,,2,,2,,2,,2,,1,,2,,2,,1,3,2,,2,,,,2,2,1,2,2,2,1,2,,3,5,1,1,2,1,3,1,1,1,1,1,2,3,2,1,3,3,3,3,3,1,1,3,1,3,1,1,1,3,2,1,1,7,0,4,montevideo,1,15,2,18,2,2,5,2,,1,1,2,2002,1,30,1,2,3,andres,4,5,1,33,4,1,paola,3,5,2,35,4,1,andrea,3,5,2,31,4,1,,,,,,,,,,,,,,,1,5,60000,1,2,2,1,1,56,,5,ns_nc,1,salto,,,salto,15,1,1,52,,3,ns_nc,tacuarembo,18,3,,,,4,3,4,4,4,4,3,4,2,4,1,,5,2,1,1,1,8,5,8,1,1,1,4,1,2,1,1,3,1,1,10,5,1,10,10,10,10,8,10,10,10,ns_nc,ns_nc,5,5,10,ns_nc,10,10,10,ns_nc,10,10,10,4,7,5,2,2,2,3,1,1,5,5,10,10,6,1,1,1,3,4,4,4,4,4,15,1,1,1,1,2,2,2,ns_nc,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,160,2.3499999,1.91,2718
23,3,1,22 Jan 12,7,1,1,2002,4,,,1,,4,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,0,1,,1,ninguna,0,,,3,2,2,,,4,2,2,2,,,,1,Sin nombre,3,3,2,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,2,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,2,1,2,2,2,1,2,2,,4,1,7,3,3,3,3,3,1,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,1,2,1,3,3,3,2,1,3,6,0,4,rio negro,12,14,2,16,7,7,10,2,,1,,,,2,,ninguno,3,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10000,1,1,2,1,1,61,,9,2,2,,,,rio negro,12,1,2,,55,10,1,rio negro,12,8,,,,3,5,5,3,5,5,1,5,5,1,7,,5,2,1,2,1,5,1,1,1,1,1,3,3,2,1,1,1,1,1,10,5,1,10,10,10,10,1,10,10,10,10,10,10,1,10,1,10,10,10,10,10,10,10,2,5,6,2,2,2,2,1,1,10,10,1,10,10,1,10,10,4,4,9,5,2,4,3,1,1,1,1,2,2,2,2,1,1,4,4,1,1,4,4,1,4,4,1,2,4,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,136,-2.5999999,-1.34,663
25,3,1,22 Jan 12,7,1,1,2002,4,,,1,,4,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,0,2,15,,,,,,,,2,,,4,ns_nc,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,ns_nc,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,ns_nc,,2,,2,,,,1,2,2,2,2,2,2,2,,3,1,7,ns_nc,3,1,3,3,3,1,1,3,3,ns_nc,3,1,ns_nc,3,3,1,3,1,3,1,1,3,1,1,3,1,2,1,1,,0,4,rio negro,12,14,2,16,7,7,10,2,,1,,,,2,,ninguno,3,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10000,1,1,2,1,1,61,,9,2,2,,,,rio negro,12,1,2,,55,10,1,rio negro,12,8,,,,3,5,5,3,5,5,1,5,5,1,7,,5,2,1,2,1,5,1,1,1,1,1,3,3,2,1,1,1,1,1,10,5,1,10,10,10,10,10,10,10,10,10,10,10,1,10,1,10,10,10,10,10,10,10,2,5,6,2,2,2,2,1,1,10,10,1,10,10,1,10,10,4,4,9,5,2,4,3,1,1,1,1,2,2,2,2,1,1,4,4,1,1,4,4,1,4,4,1,2,4,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,140,-2.78,-1.3,663
26,2,3,09 Oct 11,22,2,1,2010,5,1500,,1,,3,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,0,0,2,11,,,,,,,,1,1,1,2,1,1,1,15,1,,3,macarena,3,5,2,16,4,2,monica,3,5,2,15,ns_nc,2,carlos,3,5,1,16,1,1,,,,,,,,,,,,,,,2,,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,,,2,1,1,1,2,2,2,2,,7,,,3,2,1,3,1,2,3,1,3,1,3,1,1,3,2,1,3,1,1,3,3,1,2,2,2,2,3,2,1,2,7,0,1,lavalleja,9,14,2,18,5,5,3,2,,1,2,,,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,30000,2,2,2,1,1,71,,9,2,1,2,3,5,treinta y tres,19,1,2,,71,9,4,montevideo,1,1,6,,,3,3,2,4,3,3,1,4,3,4,1,,5,2,1,2,1,4,4,4,1,2,1,2,1,1,1,1,1,1,1,10,10,1,10,10,10,10,5,8,10,10,1,10,10,1,10,5,10,10,10,2,10,10,10,3,2,5,3,2,2,3,2,1,5,1,10,10,1,10,5,1,4,4,4,2,5,5,5,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,3,4,4,1,3,4,,,,,,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1410
28,3,3,09 Oct 11,22,2,1,1995,2,,,1,,4,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,0,0,1,,1,1,1,2,Ns_Nc,4,2,2,,,5,1,2,2,,,,1,nataya,1,5,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,28,2,,1,7,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,5,3,1,1,2,1,3,3,1,3,1,3,1,1,3,1,2,3,1,1,3,2,1,3,3,2,3,2,1,,,,,,canelones,3,18,1,33,2,2,3,2,,1,1,20,2010,2,,ninguno,2,4,susana,5,5,2,54,3,1,mariela,5,5,2,47,3,1,estela,5,5,2,47,3,1,isabel,5,5,2,47,3,1,,,,,,,,1,3,30000,1,2,2,1,1,75,,9,2,8,,,,florida,8,1,2,,67,9,2,floridas,8,8,,,,3,5,5,3,2,5,1,2,4,4,1,,3,2,1,2,1,5,5,5,1,1,1,2,1,2,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,1,5,10,1,10,5,10,10,10,1,10,10,10,5,4,5,3,2,2,2,1,1,6,2,10,8,2,9,5,1,4,4,4,4,4,4,5,1,1,1,1,2,2,2,2,ns_nc,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,150,.47,2.3599999,1410
29,2,3,12 Feb 12,7,1,1,1998,4,,,1,,7,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,0,0,1,,1,ninguna,0,,,4,ns_nc,1,ns_nc,20,4,1,2,2,,,,2,Sin nombre,1,5,1,13,4,2,Sin nombre,1,5,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,1,ns_nc,2,,1,7,2,,1,6,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,1,15,2,,2,,,,2,2,2,2,2,2,2,1,solo,3,1,2,3,1,2,3,1,3,3,3,3,1,1,1,3,3,1,3,3,2,3,3,3,1,1,1,3,2,1,2,1,1,8,0,4,artigas,2,16,2,20,9,8,3,2,,1,1,3,2011,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,60000,1,1,1,1,2,,94,9,1,2,5,,,brasil,54,1,2,,97,6,1,brasil,54,8,,,,3,3,3,3,3,4,1,1,1,1,7,,1,2,1,1,1,5,5,7,1,1,1,3,1,2,3,1,2,1,1,10,10,10,10,10,10,10,10,10,10,10,5,5,10,1,10,5,10,10,10,10,10,10,10,1,3,5,3,3,1,3,4,1,10,10,10,1,1,10,1,1,4,1,9,9,4,3,11,1,1,1,1,2,2,2,,2,4,3,4,4,4,4,4,4,1,3,1,4,4,,,,,,,2,1,9,2,1,9,2,2,2,2,1,2,2,2,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1410
32,3,1,05 Oct 11,3,1,1,2001,3,,,2,2,3,4,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,1,2,0,1,,1,2,1,1,,3,4,2,,,4,1,2,2,,,,3,tati,3,5,2,14,1,2,jaque,3,5,2,14,1,2,tato,3,5,1,12,2,2,,,,,,,,,,,,,,,2,,1,20,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,30,2,,2,,,,2,2,2,2,2,1,2,2,,4,1,5,3,3,1,3,1,1,3,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1,,,,,,montevideo,1,17,2,16,2,2,2,2,,2,1,ns_nc,2009,2,,15,3,2,lola,3,5,2,29,2,2,damian,3,5,2,28,3,3,,,,,,,,,,,,,,,,,,,,,,1,5,40000,1,2,2,1,1,54,,9,2,8,,,,montevideo,1,1,1,56,,9,3,montevideo,1,8,,,,4,4,4,ns_nc,4,4,4,ns_nc,3,3,1,,4,2,ns_nc,1,1,5,5,5,1,1,1,ns_nc,1,3,3,1,1,1,1,10,10,1,10,10,10,10,1,10,5,10,1,1,1,1,5,1,10,10,10,1,10,10,10,3,3,5,ns_nc,3,3,4,1,5,8,8,5,5,5,10,1,1,3,9,9,3,3,3,10,1,1,1,1,2,2,2,2,1,4,4,4,3,3,4,4,2,4,4,1,3,4,,,,,,,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,788
33,2,1,05 Oct 11,3,2,1,2002,2,,,2,4,3,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,0,0,1,,1,1,0,,,4,3,2,,,4,1,1,2,,,,2,sol,3,2,2,14,4,2,sofia,3,3,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,2,,1,15,1,10,1,2,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,2,1,2,2,2,2,2,,4,1,5,3,1,1,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,1,1,3,3,3,2,1,3,6,0,4,montevideo,1,20,1,18,2,2,2,2,,2,1,,,2,,2,2,2,carmen,3,5,2,39,3,1,alicia,4,5,2,36,3,1,,,,,,,,,,,,,,,,,,,,,,1,5,30000,1,2,2,1,1,68,,9,2,8,,,,montevideo,1,2,,,,,,0,,,,,,3,3,3,2,2,2,3,3,2,3,1,,4,1,1,2,1,3,3,2,1,1,1,2,1,2,3,1,1,1,1,1,10,1,10,10,10,10,10,10,10,10,1,1,1,1,5,1,10,10,10,8,10,10,10,4,4,5,2,2,2,3,1,5,10,10,5,5,5,10,5,5,4,3,4,4,3,3,9,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,1,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,147,-.99000001,-.56,788
35,3,1,04 Oct 11,3,1,1,1990,4,,,1,,3,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2,0,0,1,,1,3,1,1,,3,3,2,,,4,1,2,2,,,,1,pinilla,2,3,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,5,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,2,1,2,2,2,2,2,2,,4,1,5,3,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,3,1,1,2,3,1,1,1,2,1,2,1,,,,,,rocha,14,15,2,30,2,2,2,2,,1,1,,,2,,ninguno,2,3,grisel,3,5,2,45,2,2,nadal,3,5,2,47,2,1,ana,3,5,2,36,2,1,,,,,,,,,,,,,,,1,5,10000,2,2,1,1,2,,54,9,2,8,,,,rocha,14,1,1,75,,7,2,treinta y tres,19,5,,,,4,4,2,3,3,3,3,3,2,3,1,,4,1,1,1,1,1,1,1,1,1,1,4,1,2,2,3,3,3,3,10,10,1,10,10,10,10,10,10,10,10,10,10,10,5,10,1,10,10,10,5,10,10,10,5,3,5,ns_nc,2,3,4,2,1,10,10,1,1,5,10,1,1,3,9,3,5,4,3,15,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,1,4,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,142,-1.03,.46000001,788
39,4,1,15 Oct 11,8,2,1,2008,6,,,1,,4,1,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,0,1,,1,4,0,,,2,2,2,,,4,1,2,2,,,,2,pablo,3,5,1,14,4,2,brian,1,5,1,14,4,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,14,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,1,2,2,2,2,2,2,,2,1,5,1,2,1,3,1,3,3,1,2,1,3,1,1,3,1,3,3,1,1,1,3,1,3,1,3,3,3,1,,,,,,tacuarembo,18,18,1,no tuvo hijos,,,1,2,,1,1,2,2011,2,,ninguno,2,4,daiana,6,5,2,21,3,1,estefani,4,2,2,20,3,1,maria,4,2,2,22,3,1,alex,4,2,1,24,2,1,,,,,,,,1,5,50000,1,2,2,1,1,37,,9,5,8,,,,tacuarembo,18,1,1,46,,6,2,florida,8,8,,,,5,4,3,5,3,4,ns_nc,4,5,2,1,,4,2,1,2,1,5,5,2,1,2,1,2,3,2,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,1,10,10,1,10,5,10,10,10,5,10,10,10,4,3,9,3,1,1,4,2,10,10,1,10,5,10,10,1,5,4,1,3,5,4,5,5,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,2,4,4,1,4,4,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10000,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,140,-1.21,1.01,1087
41,3,3,06 Oct 11,8,2,1,1987,6,,,1,,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,,1,2,0,,,4,3,1,1,20,4,1,2,2,,,,3,carolina,2,2,2,14,4,2,jessica,2,2,2,13,4,2,lorena,2,2,2,14,4,2,,,,,,,,,,,,,,,1,1,2,,1,14,2,,1,7,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,1,2,2,2,2,2,2,,3,1,7,3,1,3,2,3,3,3,3,3,2,1,1,2,3,1,2,1,1,1,1,1,1,3,2,3,1,2,1,,,,,,tacuarembo,18,18,1,24,2,2,4,2,,1,1,3,2011,1,2,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,40000,1,1,1,1,2,,55,9,2,1,,,,tacuarembo,18,1,2,,55,9,1,tacuarembo,18,5,,,,3,3,1,ns_nc,1,1,ns_nc,ns_nc,4,3,7,,1,2,ns_nc,2,2,4,5,6,1,1,1,ns_nc,1,1,3,3,1,1,1,ns_nc,5,1,10,10,10,10,10,10,10,ns_nc,1,1,10,1,10,10,10,10,10,10,10,10,10,8,8,1,1,4,1,4,1,1,1,ns_nc,ns_nc,ns_nc,ns_nc,10,10,1,4,2,3,9,2,3,6,1,1,1,1,2,2,2,2,1,4,4,3,4,4,4,4,4,4,3,2,4,ns_nc,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,999999,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,162,1.79,-4.0100002,1087
